"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","testSimpleObject()","","2026-09-14","passed","2026-09-14","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testSimpleObject"
"","3","testRawCRI1()","","2026-09-14","passed","2026-09-14","","org.kinotic.continuum.internal.core.api.CRITests","org.kinotic.continuum.internal.core.api.CRITests","testRawCRI1"
"","1028","testSerializeDeserializeObjectC3Type()","","2026-09-14","passed","2026-09-14","","org.kinotic.continuum.idl.internal.TestIdl","org.kinotic.continuum.idl.internal.TestIdl","testSerializeDeserializeObjectC3Type"
"","13","testAutowireCollection()","","2026-09-14","passed","2026-09-14","","org.kinotic.continuum.grind.internal.api.TestJobService","org.kinotic.continuum.grind.internal.api.TestJobService","testAutowireCollection"
"","83","testPutListOfSimpleObjects()","","2026-09-14","passed","2026-09-14","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testPutListOfSimpleObjects"
"","983","testRpcCompletableFutureString()","","2026-09-14","passed","2026-09-14","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testRpcCompletableFutureString"
"","136","clearsAfterConsumerUnregistered()","","2026-09-14","passed","2026-09-14","","org.kinotic.continuum.internal.core.api.event.DefaultEventBusServiceLocalDeliveryTest","org.kinotic.continuum.internal.core.api.event.DefaultEventBusServiceLocalDeliveryTest","clearsAfterConsumerUnregistered"
"","52","testReverseCopyMedium()","","2026-09-14","passed","2026-09-14","","org.kinotic.util.FileUtilTests","org.kinotic.util.FileUtilTests","testReverseCopyMedium"
"","10315","testSingleProducerMultiConsumer()","","2026-09-14","passed","2026-09-14","","org.kinotic.util.TestFluxFactory","org.kinotic.util.TestFluxFactory","testSingleProducerMultiConsumer"
"","429","emitsCurrentStatusThenTracksRegistrationChanges()","","2026-09-14","passed","2026-09-14","","org.kinotic.continuum.internal.core.api.event.ListenerStatusMonitoringTest","org.kinotic.continuum.internal.core.api.event.ListenerStatusMonitoringTest","emitsCurrentStatusThenTracksRegistrationChanges"
"","5","testReverseCopyLarge()","","2026-09-14","passed","2026-09-14","","org.kinotic.util.FileUtilTests","org.kinotic.util.FileUtilTests","testReverseCopyLarge"
"","2","testEventStreamWriteWithoutKey()","","2026-09-14","passed","2026-09-14","","org.kinotic.continuum.internal.core.api.event.EventStreamServiceTest","org.kinotic.continuum.internal.core.api.event.EventStreamServiceTest","testEventStreamWriteWithoutKey"
"","11","testMonoEmptyString()","","2026-09-14","passed","2026-09-14","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testMonoEmptyString"
"","8","testMonoStringLiterallyNull()","","2026-09-14","passed","2026-09-14","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testMonoStringLiterallyNull"
"","11","testUnknownFailure()","","2026-09-14","passed","2026-09-14","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testUnknownFailure"
"","130","testVertxFutureNullString()","","2026-09-14","passed","2026-09-14","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testVertxFutureNullString"
"","12","testLimitedFlux()","","2026-09-14","passed","2026-09-14","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testLimitedFlux"
"","9","testPutMapOfSimpleObjects()","","2026-09-14","passed","2026-09-14","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testPutMapOfSimpleObjects"
"","6","testSendTwoArgsReturnOne()","","2026-09-14","passed","2026-09-14","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testSendTwoArgsReturnOne"
"","13","testSendCollection()","","2026-09-14","passed","2026-09-14","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testSendCollection"
"","16","testABunchOfArguments()","","2026-09-14","passed","2026-09-14","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testABunchOfArguments"
"","23","testMonoWithVoidFromNull()","","2026-09-14","passed","2026-09-14","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testMonoWithVoidFromNull"
"","19","testPutNestedGenerics()","","2026-09-14","passed","2026-09-14","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testPutNestedGenerics"
"","7","prefersLocalDeliveryForLocallyHostedServiceAddress()","","2026-09-14","passed","2026-09-14","","org.kinotic.continuum.internal.core.api.event.DefaultEventBusServiceLocalDeliveryTest","org.kinotic.continuum.internal.core.api.event.DefaultEventBusServiceLocalDeliveryTest","prefersLocalDeliveryForLocallyHostedServiceAddress"
"","48","testMissingRemoteMethodFailure()","","2026-09-14","passed","2026-09-14","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testMissingRemoteMethodFailure"
"","19","testSchemaFactory()","","2026-09-14","passed","2026-09-14","","org.kinotic.continuum.idl.internal.TestSchemaFactory","org.kinotic.continuum.idl.internal.TestSchemaFactory","testSchemaFactory"
"","4","testSendAndReceiveCollection()","","2026-09-14","passed","2026-09-14","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testSendAndReceiveCollection"
"","1","testReverseCopySmall()","","2026-09-14","passed","2026-09-14","","org.kinotic.util.FileUtilTests","org.kinotic.util.FileUtilTests","testReverseCopySmall"
"","5","testMonoStringNull()","","2026-09-14","passed","2026-09-14","","org.kinotic.continuum.internal.core.api.RpcTests","org.kinotic.continuum.internal.core.api.RpcTests","testMonoStringNull"
